host_id,host_since,host_location,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified
190120808,2018-05-17,"Paris, Ile-de-France, France",0,1,1,1
16014727,2014-05-26,"Paris, Ile-de-France, France",0,1,1,1
135816126,2017-06-19,"Paris, Ile-de-France, France",0,1,1,1
10573900,2013-12-11,"Paris, Ile-de-France, France",0,1,1,1
70226434,2016-05-03,"Paris, Ile-de-France, France",0,1,1,1
29214798,2015-03-12,"Paris, Ile-de-France, France",0,1,1,1
13803334,2014-04-02,"Paris, Ile-de-France, France",0,1,1,1
315461678,2019-12-08,"Paris, Ile-de-France, France",0,1,1,1
4120103,2012-11-11,"Paris, Ile-de-France, France",0,1,1,1
24162806,2014-11-25,"Paris, Ile-de-France, France",0,1,1,1
48769353,2015-11-11,"Paris, Ile-de-France, France",0,1,1,1
4356767,2012-12-08,"Paris, Ile-de-France, France",0,1,1,1
31773172,2015-04-23,"Paris, Ile-de-France, France",0,1,1,1
13343414,2014-03-20,"Paris, Ile-de-France, France",0,1,1,1
80926098,2016-06-30,"Paris, Ile-de-France, France",0,1,1,1
57172063,2016-02-02,"Paris, Ile-de-France, France",0,1,1,0
23742945,2014-11-14,"Paris, Ile-de-France, France",0,1,1,1
47498242,2015-10-26,"Paris, Ile-de-France, France",0,1,1,1
54036233,2016-01-10,"Paris, Ile-de-France, France",0,1,1,1
17119333,2014-06-22,"Paris, Ile-de-France, France",0,1,1,1
32354115,2015-05-01,"Paris, Ile-de-France, France",0,1,1,1
18128822,2014-07-15,"Paris, Ile-de-France, France",1,1,1,1
4300390,2012-12-02,"Paris, Ile-de-France, France",0,1,1,1
37118482,2015-06-30,"Paris, Ile-de-France, France",0,1,1,1
36879135,2015-06-27,"Paris, Ile-de-France, France",0,1,1,1
2306879,2012-05-06,"Paris, Ile-de-France, France",0,1,1,1
10407558,2013-12-03,"Paris, Ile-de-France, France",0,1,1,0
16315943,2014-06-03,"Paris, Ile-de-France, France",0,1,1,0
3282160,2012-08-16,"Paris, Ile-de-France, France",0,1,1,1
19456266,2014-08-04,"Paris, Ile-de-France, France",0,1,1,1
7338012,2013-07-07,"Paris, Ile-de-France, France",0,1,1,1
29796365,2015-03-22,"Paris, Ile-de-France, France",0,1,1,0
2078696,2012-04-05,"Paris, Ile-de-France, France",0,1,1,1
14781426,2014-04-27,"Paris, Ile-de-France, France",0,1,1,0
22031118,2014-10-02,"Paris, Ile-de-France, France",0,1,1,1
3010513,2012-07-21,"Paris, Ile-de-France, France",0,1,1,1
30038377,2015-03-26,"Paris, Ile-de-France, France",0,1,1,0
32493233,2015-05-03,"Paris, Ile-de-France, France",0,1,1,0
16989662,2014-06-19,"Paris, Ile-de-France, France",0,1,1,1
1280317,2011-10-12,"Paris, Ile-de-France, France",0,1,1,1
37164986,2015-06-30,"Paris, Ile-de-France, France",0,1,1,1
37709490,2015-07-06,"Paris, Ile-de-France, France",0,1,1,1
7671374,2013-07-23,"Paris, Ile-de-France, France",0,1,1,1
40611019,2015-08-05,"Paris, Ile-de-France, France",0,1,1,1
6571172,2013-05-25,"Paris, Ile-de-France, France",0,1,1,1
42284217,2015-08-23,"Paris, Ile-de-France, France",0,1,1,0
12732660,2014-03-02,"Paris, Ile-de-France, France",0,1,1,1
43875722,2015-09-10,"Paris, Ile-de-France, France",0,1,1,0
18401754,2014-07-19,"Paris, Ile-de-France, France",0,1,1,1
9346489,2013-10-10,"Paris, Ile-de-France, France",0,1,1,1
9644140,2013-10-26,"Paris, Ile-de-France, France",0,1,1,1
9211183,2013-10-03,"Paris, Ile-de-France, France",0,1,1,0
