neighbourhood,city,latitude,longitude,location_id
Batignolles-Monceau,Paris,48.89635,2.31901,133
Palais-Bourbon,Paris,48.86017,2.30412,134
Vaugirard,Paris,48.84343,2.3013,135
Passy,Paris,48.84098,2.25956,136
Buttes-Montmartre,Paris,48.89002,2.34487,137
Elysee,Paris,48.87577,2.32548,138
Popincourt,Paris,48.85409,2.38458,139
Buttes-Montmartre,Paris,48.88533,2.33393,140
Gobelins,Paris,48.83263,2.3438,141
Vaugirard,Paris,48.84335,2.32111,142
Batignolles-Monceau,Paris,48.88498,2.31938,143
Opera,Paris,48.881,2.33119,144
Temple,Paris,48.8629,2.35302,145
Popincourt,Paris,48.86805,2.37896,146
Opera,Paris,48.87601,2.34111,147
Buttes-Chaumont,Paris,48.8769,2.39831,148
Popincourt,Paris,48.85849,2.36931,149
Batignolles-Monceau,Paris,48.88611,2.31587,150
Vaugirard,Paris,48.84374,2.28783,151
Buttes-Montmartre,Paris,48.88678,2.32653,152
Buttes-Chaumont,Paris,48.87873,2.37484,153
Vaugirard,Paris,48.84903,2.30427,154
Batignolles-Monceau,Paris,48.88389,2.31427,155
Temple,Paris,48.86325,2.36548,156
Buttes-Montmartre,Paris,48.89326,2.34434,157
Louvre,Paris,48.86033,2.34838,158
Vaugirard,Paris,48.85133,2.28856,159
Popincourt,Paris,48.85817,2.37301,160
Menilmontant,Paris,48.84862,2.39931,161
Buttes-Montmartre,Paris,48.8943,2.34449,162
Vaugirard,Paris,48.83794,2.28713,163
Buttes-Montmartre,Paris,48.88757,2.355,164
Passy,Paris,48.85758,2.28354,165
Popincourt,Paris,48.85776,2.38214,166
Luxembourg,Paris,48.84679,2.31958,167
Buttes-Montmartre,Paris,48.895,2.34325,168
Bourse,Paris,48.871,2.34565,169
Vaugirard,Paris,48.84319,2.28348,170
Observatoire,Paris,48.82025,2.34341,171
Opera,Paris,48.87874,2.34312,172
Batignolles-Monceau,Paris,48.89168,2.31739,173
Popincourt,Paris,48.85751,2.37838,174
Enclos-St-Laurent,Paris,48.8697,2.35871,175
Vaugirard,Paris,48.85022,2.29379,176
Gobelins,Paris,48.83234,2.34383,177
Reuilly,Paris,48.83494,2.3995,178
Popincourt,Paris,48.85957,2.38009,179
Buttes-Chaumont,Paris,48.88708,2.38369,180
Buttes-Montmartre,Paris,48.89517,2.34576,181
Vaugirard,Paris,48.84515,2.29447,182
Observatoire,Paris,48.82937,2.31975,183
Buttes-Chaumont,Paris,48.88797,2.39224,184
Popincourt,Paris,48.85068,2.39819,185
Palais-Bourbon,Paris,48.85966,2.3042,186
Vaugirard,Paris,48.84482,2.27814,187
Enclos-St-Laurent,Paris,48.87311,2.35027,188
Gobelins,Paris,48.82881,2.34424,189
Enclos-St-Laurent,Paris,48.87986,2.36726,190
Enclos-St-Laurent,Paris,48.86925,2.3591,191
Buttes-Montmartre,Paris,48.89107,2.32695,192
